% Model,2DPnC_unit_cell.mph
% Version,COMSOL 6.2.0.415
% Date,"May 8 2025, 17:34"
% Table,Eigenfrequencies (Study 1) - 
% k,Eigenfrequency (kHz),Angular frequency (rad/s),Damping ratio (1),Quality factor (1)
0,2.8192330138991398E-5i,0.17713763450446696i,1,0.5
0,2.8312030113924303E-5i,0.17788973162823515i,1,0.5
0,21.302391428411358,133846.87283078258,0,Inf
0,32.842016929471505,206352.47822939858,0,Inf
0,32.847120835999995,206384.54701990762,0,Inf
0,40.12140611616382,252090.22941246568,0,Inf
0,40.125469270129365,252115.7589617628,0,Inf
0,50.34729544676591,316341.3870073493,0,Inf
0,56.656973843403,355986.2656021279,0,Inf
0,68.12200031211763,428023.1514567807,0,Inf
0,70.22610612852651,441243.638207192,0,Inf
0,70.22958280990393,441265.48284054047,0,Inf
0,71.80151417176444,451142.21887727716,0,Inf
0,76.2008910570687,478784.3190837664,0,Inf
0,77.95998795055463,489837.05083882244,0,Inf
0.05,1.0242874147804462+4.068492739603471E-14i,6435.787634877462+2.5563093803843354E-10i,3.9720225796931657E-14,1.2588045258257934E13
0.05,1.8706801801482642-2.3031920609155566E-14i,11753.830222339635-1.4471382516757295E-10i,-1.2312056787456918E-14,-4.061059891385345E13
0.05,21.316977453590187-9.999330326484128E-15i,133938.51952987636-6.282764538900033E-11i,-4.690782428350343E-16,-1.0659202545359586E15
0.05,32.835454642255925-7.60742764184773E-15i,206311.24616278414-4.77988775846895E-11i,-2.316833351245192E-16,-2.1581181043136865E15
0.05,32.84362061086389-2.189959295910201E-14i,206362.5544567606-1.3759920071384324E-10i,-6.66783763537268E-16,-7.498682891549651E14
0.05,40.069877723297154-6.965145365883705E-14i,251766.4669715033-4.3763299025290473E-10i,-1.7382497181502695E-15,-2.876456672359291E14
0.05,40.13192368786478+9.12520262676511E-15i,252156.31326444438+5.7335339069527106E-11i,2.27380144987279E-16,2.1989606877415482E15
0.05,50.34041968023764+4.714580498842126E-14i,316298.18529212323+2.9622582919840254E-10i,9.365397683986631E-16,5.338801585061593E14
0.05,56.70625262135166-1.2602028090179085E-13i,356295.89329569065-7.918087773687765E-10i,-2.222334840979076E-15,-2.2498859792870775E14
0.05,68.11203355227073-1.0295736982711713E-12i,427960.52845775045-6.469002333635971E-9i,-1.5115885469504485E-14,-3.307778436193659E13
0.05,70.15891977988485-3.320451923894501E-9i,440821.4939285637-2.086301474141012E-5i,-4.7327580503120896E-11,-1.0564664296900383E10
0.05,70.24761758998248-1.0586961301206428E-9i,441378.7987057481-6.65198396954191E-6i,-1.5070918650935375E-11,-3.3176477929496857E10
0.05,71.87680598788657-1.5391510970059E-10i,451615.2913100866-9.670771558236812E-7i,-2.1413738073799406E-12,-2.334949639697754E11
0.05,75.68695704791092+6.755740478804827E-9i,475555.17646856635+4.244756931554487E-5i,8.925897859162638E-11,5.60167736500299E9
0.05,77.95996390771064-2.7966632143213483E-7i,489836.89977317833-0.001757195321735353i,-3.587306963907848E-9,-1.3938032207183155E8
0.1,2.0479981342272864+6.2853076897293726E-15i,12867.951786108091+3.949175292721046E-11i,3.069000691302305E-15,1.6291948106008056E14
0.1,3.7373586636486533+3.654908848327381E-14i,23482.517043097552+2.296446957489126E-10i,9.779390144908437E-15,5.11279325797551E13
0.1,21.360079701905324,134209.33894319646,-6.875212923450891E-17,-7.272502038366455E15
0.1,32.815315837053184+1.261772695306908E-14i,206184.71031783015+7.927951660152749E-11i,3.845072531290972E-16,1.30036558720552E15
0.1,32.833041630206765+2.318307302632974E-14i,206296.0847609308+1.456635438143064E-10i,7.060897155809365E-16,7.08125311793593E14
0.1,39.91267533019828-1.9163899740606478E-14i,250778.735204931-1.204103332784413E-10i,-4.801457076495923E-16,-1.0413505567874352E15
0.1,40.15808471955795,252320.68787439956,6.382237751769438E-17,7.834242775762748E15
0.1,50.31822550105248,316158.73515156214,3.2269891389471193E-17,1.5494319270102554E16
0.1,56.85243951047764+1.0670768321798869E-14i,357214.41260954924+6.704641473584402E-11i,1.8769235610078432E-16,2.6639337391636625E15
0.1,68.08304211385837+2.946073560006646E-13i,427778.3698778839+1.8510726106104015E-9i,4.32717673672659E-15,1.1554878167011005E14
0.1,69.98682810059309-4.966646579548493E-10i,439740.2100177499-3.120636081457284E-6i,-7.096544756121622E-12,-7.045682331090633E10
0.1,70.30239874707961-4.2469944736183945E-10i,441722.9988671312-2.6684653276311997E-6i,-6.041037787198998E-12,-8.276723596391063E10
0.1,72.07119014042487+3.213404343237006E-11i,452836.64296126383+2.0190414955453827E-7i,4.4586530858945833E-13,1.1214148990012307E12
0.1,74.70326921803269+4.225943819704348E-9i,469374.48354902404+2.6552388116932736E-5i,5.656973066828304E-11,8.838649116643843E9
0.1,77.9389375051983-5.8838686538684454E-8i,489704.78698984993-3.6969437075360745E-4i,-7.549331364025855E-10,-6.623103105297573E8
0.15000000000000002,3.070539077455585+7.568635319569348E-14i,19292.766016589692+4.75551382353186E-10i,2.4649206958932856E-14,2.0284628257332242E13
0.15000000000000002,5.595915607974562-1.883724993814681E-14i,35160.17472824269-1.183579320390336E-10i,-3.3662498253730707E-15,-1.4853324201645866E14
0.15000000000000002,21.429730743234224-1.0498432809486448E-14i,134646.96934270396-6.596359877697735E-11i,-4.899003601713943E-16,-1.0206157019869761E15
0.15000000000000002,32.78025804373754+4.7754191445652074E-15i,205964.43570596713+3.000484340475622E-11i,1.4567973010442855E-16,3.432186479488819E15
0.15000000000000002,32.81510378854063+7.225476248479895E-15i,206183.3779777317+4.5399006201823954E-11i,2.201875177674466E-16,2.270791755453097E15
0.15000000000000002,39.66287031968859+1.584356370180305E-14i,249209.1640332366+9.954804666453274E-11i,3.9945580272183E-16,1.25170293332348E15
0.15000000000000002,40.202768712699275,252601.44568357125,1.874724272489306E-17,2.667058870135006E16
0.15000000000000002,50.27673583779222,315898.04790896544,1.9148594823542013E-17,2.6111576572985968E16
0.15000000000000002,57.090566739401645-9.905994261209915E-15i,358710.61011556396-6.224119759503943E-11i,-1.7351367882591345E-16,-2.8816171922771045E15
0.15000000000000002,68.03723263509946+2.2337605218040952E-13i,427490.5404340163+1.4035131290357296E-9i,3.2831442951013406E-15,1.5229303224534838E14
0.15000000000000002,69.76288139091797-3.5711801469672224E-10i,438333.111341928-2.2438386628715887E-6i,-5.119026157987984E-12,-9.767482809592114E10
0.15000000000000002,70.38974371851255-2.528293313583919E-10i,442271.8035082946-1.5885735400150866E-6i,-3.5918490109788194E-12,-1.392040696787932E11
0.15000000000000002,72.33196896795657+5.632200358786396E-10i,454475.16465883446+3.5388158541418276E-6i,7.786598981263029E-12,6.421288693602368E10
0.15000000000000002,73.58248924583623+2.1440369275640686E-9i,462332.41529513814+1.3471381321321018E-5i,2.913786893510662E-11,1.7159799884938648E10
0.15000000000000002,77.9039782784015-2.1499866035731288E-9i,489485.13168968994-1.3508764238203624E-5i,-2.759790515305689E-11,-1.8117317137913902E10
0.2,4.091283628710196+1.2815943646324892E-14i,25706.293183416285+8.052494881623013E-11i,3.1324994327917575E-15,1.596169482956261E14
0.2,7.441990772187449-1.996360560924611E-14i,46759.40707597424-1.2543503344234313E-10i,-2.6825625320384725E-15,-1.8638894490934803E14
0.2,21.522650395750436-6.9714060914866235E-15i,135230.80073814205-4.380263632441102E-11i,-3.239102045193793E-16,-1.5436376903960288E15
0.2,32.727963456109435+4.921225980742847E-15i,205635.8591213372+3.0920974775513905E-11i,1.5036762025668254E-16,3.325183966777444E15
0.2,32.78932351840713-4.748705202760846E-15i,206021.39576321375-2.9836994758114205E-11i,-1.4482473845777995E-16,-3.452448837984697E15
0.2,39.336912667302784-4.99041308535124E-15i,247161.11170100342-3.135569017463566E-11i,-1.2686336438139738E-16,-3.9412481486524215E15
0.2,40.26748619493186-6.7493607300116116E-15i,253008.07761705268-4.240748417166384E-11i,-1.6761316307003784E-16,-2.9830592707750105E15
0.2,50.21126049396336+6.3766963462311834E-15i,315486.6541906374+4.006596479098552E-11i,1.2699733652370309E-16,3.93709044367776E15
0.2,57.412425601551114,360732.90898920706,1.0403599137187526E-16,4.806029080962537E15
0.2,67.97666325188808-1.2328747153764855E-12i,427109.97177535767-7.746380297246748E-9i,-1.8136734820420037E-14,-2.7568358083785465E13
0.2,69.52200355287818-2.7266787530162913E-10i,436819.6312491311-1.7132227878350715E-6i,-3.9220370726835995E-12,-1.274847714934734E11
0.2,70.50338242029723-3.0916742507972577E-10i,442985.8165296751-1.9425562227194783E-6i,-4.385143158617018E-12,-1.1402136302379909E11
0.2,72.3917179677632-3.3745382137663575E-9i,454850.57869653817-2.1202848923252822E-5i,-4.6614976250032844E-11,-1.0726166571835327E10
0.2,72.62378174282762-5.567507511914274E-9i,456308.6783983516-3.498168139647174E-5i,-7.666231884797331E-11,-6.522109003662342E9
0.2,77.85526216664398+1.1251186778633284E-8i,489179.0393320722+7.069329145584186E-5i,1.4451414670662685E-10,3.459868887542426E9
0.25,5.109552883495587+1.526722035340737E-14i,32104.267603836557+9.592677460600231E-11i,2.9879757977889137E-15,1.6733736610918916E14
0.25,9.270853505716321-2.656663720665012E-15i,58250.490532131145-1.6692310455799457E-11i,-2.865608564547955E-16,-1.7448300726965275E15
0.25,21.634239552797048-1.0023998406319262E-14i,135931.93609013787-6.298263950577677E-11i,-4.633395309253326E-16,-1.0791222562026015E15
0.25,32.655040523712394,205177.6708239437,8.338442247421992E-17,5.996323835601137E15
0.25,32.75500557774049,205805.76978264443,-8.569369895624238E-18,-5.8347347131708496E16
0.25,38.95471326748589,244759.68204766107,-4.9508442707250997E-17,-1.0099287569123438E16
