% Model,2DPnC_unit_cell.mph
% Version,COMSOL 6.2.0.415
% Date,"May 8 2025, 17:23"
% Table,Eigenfrequencies (Study 1) - 
% k,Eigenfrequency (kHz),Angular frequency (rad/s),Damping ratio (1),Quality factor (1)
0,2.5218927244883077E-5i,0.1584551931278803i,1,0.5
0,2.568157687689352E-5i,0.16136210649810037i,1,0.5
0,17.577964449742392,110445.60796074649,0,Inf
0,31.244905810808287,196317.5331146807,0,Inf
0,31.245766739868674,196322.94249150346,0,Inf
0,39.71263571923862,249521.8492604953,0,Inf
0,39.71543196018009,249539.4185604941,0,Inf
0,41.839299572826654,262884.07233866956,0,Inf
0,52.94411378985989,332657.6778660918,0,Inf
0,54.77774823363389,344178.742861951,0,Inf
0,54.78143367340211,344201.8991629532,0,Inf
0,58.42970409891939,367124.65829718113,0,Inf
0,68.84475532591463,432564.3551401604,0,Inf
0,74.7709216977504,469799.55661558063,0,Inf
0,74.7766479781806,469835.53589664446,0,Inf
0.05,0.9957432206727058+3.876041951727298E-14i,6256.4391738544255+2.4353889841104646E-10i,3.892611941770204E-14,1.2844845761137443E13
0.05,1.7618189917489553-7.987613850496198E-14i,11069.835202866989-5.018765798486187E-10i,-4.533731267459493E-14,-1.1028443692477133E13
0.05,17.583305304608338,110479.16554156799,6.967901496274422E-18,7.175761601499944E16
0.05,31.24321638453959-5.050930562843075E-15i,196306.91813637165-3.1735932700039924E-11i,-1.616648715252787E-16,-3.092817847703034E15
0.05,31.246162234762657-1.4586500459298292E-14i,196325.4274592104-9.164968536903131E-11i,-4.668253448121126E-16,-1.0710643831929036E15
0.05,39.62108410660299-1.4297552325839235E-14i,248946.61351313454-8.983417070234439E-11i,-3.608571710801951E-16,-1.3855897570312728E15
0.05,39.71247320224415+2.8245638805590893E-14i,249520.82813610346+1.7747258273519026E-10i,7.112535817586585E-16,7.029841575822942E14
0.05,41.87096745145199+1.1681379847690486E-14i,263083.0474883578+7.339627422659258E-11i,2.789851909018979E-16,1.792209824412578E15
0.05,52.928452830864195-1.6788465718271559E-13i,332559.2771586337-1.0548504113113202E-9i,-3.171916959658736E-15,-1.576333827017321E14
0.05,54.75374036272299-2.149508785550606E-14i,344027.896960187-1.3505762019025003E-10i,-3.9257752462405607E-16,-1.2736337885843438E15
0.05,54.790734578865674+2.1688568766529684E-13i,344260.3384755053+1.3627329660761338E-9i,3.958437303904221E-15,1.2631247171878867E14
0.05,58.530986806430356-1.2225213299086027E-13i,367761.0363168854-7.68132805779538E-10i,-2.0886737036428944E-15,-2.3938636232549906E14
0.05,68.83363287284276+3.452939566920196E-13i,432494.4707064394+2.169545915345202E-9i,5.0163552653088274E-15,9.967396118409048E13
0.05,74.4827495460322+1.6397772157402828E-8i,467988.91758596647+1.0303024108987196E-4i,2.201553011582715E-10,2.271124053654042E9
0.05,74.76302164204812+2.8313247149345408E-9i,469749.91910166614+1.7789737848731138E-5i,3.787065654583109E-11,1.3202834215321821E10
0.1,1.9902482362400333-5.965228805288946E-14i,12505.098475583463-3.7480637983355945E-10i,-2.997228534948196E-14,-1.668207793199333E13
0.1,3.5197158247818336+5.41979076753805E-14i,22115.026755716695+3.405354971858265E-10i,1.5398375997795195E-14,3.24709566821587E13
0.1,17.59914379154938+1.2526251958442964E-14i,110578.6816900039+7.870476225931835E-11i,7.117534868064275E-16,7.024904117343408E14
0.1,31.236103792083167-5.552828444334829E-15i,196262.2283999535-3.4889450094733475E-11i,-1.777695605475034E-16,-2.8126300051599135E15
0.1,31.249361793765235+3.4916644230772356E-14i,196345.53088132484+2.1938774600680574E-10i,1.1173554346872712E-15,4.4748518195549975E14
0.1,39.36429652040696+9.651139791602238E-15i,247333.16952448155+6.063989973613144E-11i,2.4517495915617244E-16,2.0393599808107162E15
0.1,39.708661479162885+3.17032877426117E-14i,249496.87837364423+1.9919763173366454E-10i,7.983972907081746E-16,6.262546301434745E14
0.1,41.94346000887571-1.4811512696403764E-14i,263538.5316600424-9.306347895114803E-11i,-3.531304449673318E-16,-1.4159073711309575E15
0.1,52.88334515337849+2.1260945427635867E-14i,332275.85726221453+1.335864599276687E-10i,4.020348063454075E-16,1.2436734136158992E15
0.1,54.68904669477623+1.83516596894103E-14i,343621.41465627635+1.1530687852286268E-10i,3.3556371519570125E-16,1.4900299923917555E15
0.1,54.82740434764568+2.3817477064777338E-14i,344490.7414279215+1.4964962194749574E-10i,4.344082552906788E-16,1.1509910180353992E15
0.1,58.81645401622123-4.0985166873585983E-14i,369554.67969512497-2.5751739831241895E-10i,-6.968316529636846E-16,-7.175334212696241E14
0.1,68.80007558585594-6.223399412784128E-12i,432283.62405389495-3.91027717511153E-8i,-9.045628743558456E-14,-5.52753174129613E12
0.1,73.77006246086084+9.89124482179496E-9i,463510.97256380116+6.214852413401825E-5i,1.3408209904990688E-10,3.729058565930522E9
0.1,74.73216804110848+1.53882807676436E-9i,469556.06020956865+9.668741962201247E-6i,2.0591240922087062E-11,2.428216938900842E10
0.15000000000000002,2.982236387914501-2.0437485132835658E-14i,18737.943855080714-1.2841250630233424E-10i,-6.853073490638928E-15,-7.295996470532288E13
0.15000000000000002,5.2696473810021836+7.700933461894681E-16i,33110.17099833031+4.838639197934428E-12i,1.4613754783019493E-16,3.4214341722838875E15
0.15000000000000002,17.624926944798016+5.322100796747238E-15i,110740.68201966849+3.343974552945101E-11i,3.0196441740815566E-16,1.6558242335028698E15
0.15000000000000002,31.22397721069585,196186.0348419544,6.233397102654517E-17,8.021308313360511E15
