L,w,w_cubic,alpha,num_vert,num_hori,strain,stress
1.8,0.5,0.125,1.0471976,2.0,4.0,0.6666666666666666,0.4071425
1.8,0.5,0.125,1.0471976,2.0,4.0,0.7,0.42408833
1.8,0.5,0.125,1.0471976,2.0,4.0,0.7333333333333333,0.4409836
1.8,0.5,0.125,1.0471976,2.0,4.0,0.7666666666666666,0.4578489
1.8,0.5,0.125,1.0471976,2.0,4.0,0.8,0.47478744
1.8,0.5,0.125,1.0471976,2.0,4.0,0.8333333333333334,0.49213722
1.8,0.5,0.125,1.0471976,2.0,4.0,0.8666666666666667,0.5117953
1.8,0.5,0.125,1.0471976,2.0,4.0,0.9,0.5343155
1.8,0.5,0.125,1.0471976,2.0,4.0,0.9333333333333333,0.55752856
1.8,0.5,0.125,1.0471976,2.0,4.0,0.9666666666666667,0.5805634
1.8,0.5,0.125,1.0471976,2.0,4.0,1.0,0.6030031
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.03333333333333333,0.008512259
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.06666666666666667,0.016513154
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.1,0.0236722
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.13333333333333333,0.029780608
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.16666666666666666,0.034775518
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.2,0.038711175
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.23333333333333334,0.04171799
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.26666666666666666,0.043963525
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.3,0.04561836
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.3333333333333333,0.0468397
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.36666666666666664,0.04777053
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.4,0.048548758
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.43333333333333335,0.049316317
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.4666666666666667,0.05022429
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.5,0.051435318
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.5333333333333333,0.053125363
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.5666666666666667,0.055486944
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.6,0.05873232
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.6333333333333333,0.06309407
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.6666666666666666,0.06881771
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.7,0.076147705
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.7333333333333333,0.085318275
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.7666666666666666,0.09655512
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.8,0.11008166
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.8333333333333334,0.12608916
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.8666666666666667,0.1446608
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.9,0.16566566
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.9333333333333333,0.18871167
2.0,0.26,0.017576,0.87266463,1.0,1.0,0.9666666666666667,0.21319734
2.0,0.26,0.017576,0.87266463,1.0,1.0,1.0,0.23845634
1.6,0.4,0.064,1.0471976,4.0,2.0,0.03333333333333333,0.03434711
1.6,0.4,0.064,1.0471976,4.0,2.0,0.06666666666666667,0.06810868
1.6,0.4,0.064,1.0471976,4.0,2.0,0.1,0.10063779
1.6,0.4,0.064,1.0471976,4.0,2.0,0.13333333333333333,0.13133888
1.6,0.4,0.064,1.0471976,4.0,2.0,0.16666666666666666,0.1598602
1.6,0.4,0.064,1.0471976,4.0,2.0,0.2,0.18608382
1.6,0.4,0.064,1.0471976,4.0,2.0,0.23333333333333334,0.21003965
1.6,0.4,0.064,1.0471976,4.0,2.0,0.26666666666666666,0.23184814
1.6,0.4,0.064,1.0471976,4.0,2.0,0.3,0.2516728
1.6,0.4,0.064,1.0471976,4.0,2.0,0.3333333333333333,0.26968428
1.6,0.4,0.064,1.0471976,4.0,2.0,0.36666666666666664,0.28606254
1.6,0.4,0.064,1.0471976,4.0,2.0,0.4,0.3010154
1.6,0.4,0.064,1.0471976,4.0,2.0,0.43333333333333335,0.31478733
1.6,0.4,0.064,1.0471976,4.0,2.0,0.4666666666666667,0.32767278
1.6,0.4,0.064,1.0471976,4.0,2.0,0.5,0.3400177
1.6,0.4,0.064,1.0471976,4.0,2.0,0.5333333333333333,0.35218847
1.6,0.4,0.064,1.0471976,4.0,2.0,0.5666666666666667,0.36451074
1.6,0.4,0.064,1.0471976,4.0,2.0,0.6,0.37725824
1.6,0.4,0.064,1.0471976,4.0,2.0,0.6333333333333333,0.39068136
1.6,0.4,0.064,1.0471976,4.0,2.0,0.6666666666666666,0.40499246
1.6,0.4,0.064,1.0471976,4.0,2.0,0.7,0.42031887
1.6,0.4,0.064,1.0471976,4.0,2.0,0.7333333333333333,0.4367607
1.6,0.4,0.064,1.0471976,4.0,2.0,0.7666666666666666,0.4545341
1.6,0.4,0.064,1.0471976,4.0,2.0,0.8,0.47393566
