% Model,2DPnC_unit_cell.mph
% Version,COMSOL 6.2.0.415
% Date,"May 8 2025, 11:57"
% Table,Eigenfrequencies (Study 1) - 
% k,Eigenfrequency (kHz),Angular frequency (rad/s),Damping ratio (1),Quality factor (1)
0,3.770206210037613E-5i,0.23688904263945565i,1,0.5
0,3.8162170436873475E-5i,0.23977998857904662i,1,0.5
0,23.134548023544323,145358.65222977422,0,Inf
0,32.54562591081793,204490.19853581447,0,Inf
0,32.547236924129614,204500.3208309841,0,Inf
0,40.75067990084456,256044.07321056502,0,Inf
0,40.751590777337555,256049.79641636243,0,Inf
0,52.13122578962514,327550.1519266342,0,Inf
0,55.60957198384052,349405.2456274123,0,Inf
0,67.98461590040365,427159.93973966385,0,Inf
0,68.14217967505103,428149.942133472,0,Inf
0,68.14550232545098,428170.8189616459,0,Inf
0,71.49680920975324,449227.70113694365,0,Inf
0,74.63809024940805,468964.9520110246,0,Inf
0,78.42410929051394,492753.2112228033,0,Inf
0.05,1.0408754262025137-2.2954759739060818E-14i,6540.013184519923-1.4422900912230444E-10i,-2.2053320850130933E-14,-2.267232238617847E13
0.05,1.8875507610813558+1.8385395232153586E-14i,11859.83120858202+1.1551884518935703E-10i,9.740344795612707E-15,5.133288507663635E13
0.05,23.14303459046021-9.204124912243459E-15i,145411.97490232854-5.78312224140537E-11i,-3.977060517395368E-16,-1.257209936366412E15
0.05,32.54382471542776,204478.88129140358,2.586383926652787E-17,1.9332010025560416E16
0.05,32.545597518287515+4.5064833462044365E-14i,204490.02014028453+2.831506994792121E-10i,1.3846675709893553E-15,3.610975012888807E14
0.05,40.69135392739679+2.2060956595666523E-13i,255671.31712586386+1.3861307834421847E-9i,5.421534175301367E-15,9.222481752080931E13
0.05,40.75855263718723-1.0648048469938065E-13i,256093.53907188054-6.690366169645092E-10i,-2.6124697225443214E-15,-1.9138977791216E14
0.05,52.117180590660055+8.012828118987787E-14i,327461.9033388604+5.034608390617951E-10i,1.537463851301229E-15,3.2521089817937906E14
0.05,55.66186968685972-2.496661337934042E-14i,349733.8417866218-1.56869858355105E-10i,-4.485406889814621E-16,-1.1147260711963294E15
0.05,67.9128495567339+3.3484058695006446E-10i,426709.0185035681+2.1038654561720336E-6i,4.930445256465657E-12,1.0141071931471362E11
0.05,68.1356666415304-1.6746323886890226E-10i,428109.0195369501-1.052202561953792E-6i,-2.4577911558412668E-12,-2.0343469737519547E11
0.05,68.20723836973175+3.3444450143843454E-9i,428558.7179679943+2.1013767775049738E-5i,4.903357904999868E-11,1.0197093699608564E10
0.05,71.52235762352527-7.893320731628153E-11i,449388.2265549778-4.959519684582203E-7i,-1.103615847393692E-12,-4.53056198115317E11
0.05,74.43148443120876+1.7013773219200977E-10i,467666.80936973693+1.069006899105691E-6i,2.2858301630307384E-12,2.1873891074088358E11
0.05,78.41714115181219+2.631741757790466E-8i,492709.429116094+1.6535721144840033E-4i,3.356079702900069E-10,1.489833508923933E9
0.1,2.0812190906454697+4.0149846820658406E-14i,13076.685211365275+2.522689276290719E-10i,1.929150419632482E-14,2.5918144843016125E13
0.1,3.771082650845125-2.1703407383862457E-15i,23694.411103949937-1.3636653039001753E-11i,-5.755219228355702E-16,-8.687766358864714E14
0.1,23.167919368322607+1.5062785811334897E-14i,145568.33057296596+9.464227449497258E-11i,6.501570370591922E-16,7.690449714450734E14
0.1,32.53822889777257-3.887155057413473E-15i,204443.7217321308-2.4423715543469156E-11i,-1.1946424833465881E-16,-4.1853525801236775E15
0.1,32.5403445332011+1.9438957227087535E-14i,204457.01466157072+1.2213857043612883E-10i,5.973801908352216E-16,8.369879143480295E14
0.1,40.517378338650474-6.620793478906494E-14i,254578.19626284507-4.15996723085357E-10i,-1.6340626541946729E-15,-3.059858192808517E14
0.1,40.7803893734349+1.1558728882744226E-14i,256230.74333222868+7.262563548573083E-11i,2.8343841391258997E-16,1.7640516438756105E15
0.1,52.07215845373721+3.2970561456293724E-14i,327179.0209096489+2.071601473116463E-10i,6.331706315878179E-16,7.896765501364734E14
0.1,55.8180023446529+9.414155181718785E-14i,350714.8522080388+5.915088151728404E-10i,1.6865804554577752E-15,2.9645784070484144E14
0.1,67.78877458327474+3.261308503178756E-10i,425929.43245334085+2.0491405669352607E-6i,4.8109860714068805E-12,1.0392879808396214E11
0.1,68.11327033512637-6.311746527512083E-11i,427968.2993936172-3.965787304430569E-7i,-9.266544531568442E-13,-5.395754569533923E11
0.1,68.30228660690256-1.7797232981503714E-9i,429155.92365525913-1.1182331277783607E-5i,-2.605656979528581E-11,-1.9189018505822693E10
