% Model,2DPnC_unit_cell.mph
% Version,COMSOL 6.2.0.415
% Date,"May 8 2025, 17:55"
% Table,Eigenfrequencies (Study 1) - 
% k,Eigenfrequency (kHz),Angular frequency (rad/s),Damping ratio (1),Quality factor (1)
0,2.4115142603338875E-5i,0.15151990968583928i,1,0.5
0,2.4325926991058935E-5i,0.15284430705374483i,1,0.5
0,21.59296356932289,135672.59143723364,0,Inf
0,35.812066315839196,225013.84889542183,0,Inf
0,35.82388415334652,225088.10255841044,0,Inf
0,41.1541621463296,258579.22692710444,0,Inf
0,41.1588041427508,258608.3934508141,0,Inf
0,53.58822943672016,336704.7758345687,0,Inf
0,56.310884662236916,353811.7231440513,0,Inf
0,63.70044149645786,400241.67807139683,0,Inf
0,73.63148980022977,462640.2948585473,0,Inf
0,73.63380672346912,462654.85251660267,0,Inf
0,76.31794136931119,479519.76788584917,0,Inf
0,77.91799478741859,489573.20001320407,0,Inf
0,79.04822859439399,496674.6684628696,0,Inf
0.05,1.0235659913199213+3.1799306881778515E-14i,6431.254797590038+1.9980093777808547E-10i,3.106717803389724E-14,1.609415568592849E13
0.05,1.9053344420483853+1.1547260517989805E-14i,11971.56937154163+7.255357762480849E-11i,6.0604900972532605E-15,8.250157858134448E13
0.05,21.61170411459079+2.7697102585527275E-15i,135790.34175590947+1.740260280168307E-11i,1.281578835184405E-16,3.901437713178648E15
0.05,35.80523237879691,224970.9100026075,2.2384127614691503E-17,2.2337256497404532E16
0.05,35.80675527922008+4.900706534832179E-15i,224980.47866817063+3.0792047294456527E-11i,1.3686541817644762E-16,3.6532237775023445E15
0.05,41.1132046581951-1.94095081096384E-14i,258321.88343943877-1.2195353617406302E-10i,-4.720991290025721E-16,-1.0590996027812536E15
0.05,41.16546208607075+1.2409010197696996E-14i,258650.22654245803+7.796811055081141E-11i,3.014422666202953E-16,1.6586924110075555E15
0.05,53.58040041664594+5.95174361472102E-15i,336655.5846506688+3.739590803211503E-11i,1.1108061097788994E-16,4.5012355945676475E15
0.05,56.36874413610013+2.3350438923772367E-14i,354175.2649401098+1.4671513476204084E-10i,4.142444413413512E-16,1.20701679998642E15
0.05,63.699060955607536,400233.00387741014,-3.832929612546079E-17,-1.3044852124687668E16
0.05,73.57566200258262+4.655740918136833E-9i,462289.5184606384+2.9252882930872146E-5i,6.327827424744625E-11,7.901606134907807E9
0.05,73.64534065466174-2.7377514732540157E-9i,462727.32234360604-1.7201799831458897E-5i,-3.717480900919313E-11,-1.344996822650394E10
0.05,76.37573299485184+2.6096460578355837E-9i,479882.8833783243+1.6396889767531667E-5i,3.41685238950373E-11,1.463335090318669E10
0.05,77.21381767280427-1.0490636037771608E-9i,485148.7247130072-6.591461021549524E-6i,-1.3586475004028393E-11,-3.680130422731061E10
0.05,79.03754279537374-2.874256027269866E-7i,496607.52760747005-0.0018059483239614388i,-3.636570578505007E-9,-1.3749217544556767E8
0.1,2.0465912564453363+4.815131012657039E-14i,12859.112112299546+3.025436043087147E-10i,2.3527565641125122E-14,2.1251667411184375E13
0.1,3.80700009340061-1.640632481704661E-14i,23920.087051286024-1.0308397903528309E-10i,-4.309515212643883E-15,-1.1602233089537014E14
0.1,21.66705022537082-5.812217356949361E-15i,136138.09162597207-3.6519238699318394E-11i,-2.6825143692811505E-16,-1.86392291398606E15
0.1,35.754570341954974,224652.5910370905,1.491308688332412E-17,3.3527599209463616E16
0.1,35.7848273043718-3.9927436017387595E-15i,224842.7011387878-2.5087147933780278E-11i,-1.1157643902478664E-16,-4.481232815549216E15
0.1,40.98071782869153+6.642117514549436E-15i,257489.44413890713+4.1733655175977206E-11i,1.620790914965169E-16,3.084913639281752E15
0.1,41.199575919368705,258864.57007860733,3.200421270088E-17,1.5622943287908214E16
0.1,53.55494451828347,336495.6405240966,8.523558838086869E-18,5.8660943098766248E16
0.1,56.540954482519254,355257.29445847473,2.7234379219145975E-17,1.8359148045074448E16
0.1,63.69496635381926,400207.2767356153,9.56607195956297E-17,5.226805758032817E15
0.1,73.42136314101197+2.693905317850626E-9i,461320.0301207033+1.6926306312052007E-5i,3.669102836836129E-11,1.3627309515018951E10
0.1,73.6800627086098-5.412296957885226E-9i,462945.48744280764-3.4006464723877225E-5i,-7.345673658408517E-11,-6.8067276501952305E9
0.1,76.0996096179123+1.189893384238892E-8i,478147.9490333689+7.47632062896E-5i,1.563599853157217E-10,3.197749085166523E9
0.1,76.53442514836271-6.848265676241015E-8i,480879.9755856284-4.3028922276619816E-4i,-8.947954679172916E-10,-5.58786916035449E8
